Accession,Organism,Length,GC %
NG_005905.2,Homo sapiens,193689,45.05
PX673138.1,Homo sapiens,352,41.48
PX737866.1,Homo sapiens,349,41.55
PX727354.1,Homo sapiens,335,41.79
PX725939.1,Homo sapiens,348,41.67
PX725022.1,Homo sapiens,334,41.32
NM_001408467.1,Homo sapiens,3716,44.29
NM_001408497.1,Homo sapiens,3773,44.87
NM_001408505.1,Homo sapiens,3551,44.61
NM_001408450.1,Homo sapiens,3739,44.74
